,Date,Consumption
0,2020-04-01,250.08562849013148
1,2020-04-02,259.96970366511334
2,2020-04-03,260.94609551878267
3,2020-04-04,243.7371196099572
4,2020-04-05,243.0866982760191
5,2020-04-06,230.59209294903383
6,2020-04-07,231.08555229120964
7,2020-04-08,243.0866982760191
8,2020-04-09,228.62120598809904
9,2020-04-10,228.62120598809904
10,2020-04-11,251.28026839509317
11,2020-04-12,260.94609551878267
12,2020-04-13,228.62120598809904
13,2020-04-14,255.29520127806842
14,2020-04-15,243.0866982760191
15,2020-04-16,231.08555229120964
16,2020-04-17,190.60629555356934
17,2020-04-18,213.14034051714265
18,2020-04-19,177.5408587746204
19,2020-04-20,158.8861232383723
20,2020-04-21,177.95778623338094
21,2020-04-22,215.718683601312
22,2020-04-23,213.14034051714265
23,2020-04-24,222.61497274396183
24,2020-04-25,230.59209294903383
25,2020-04-26,231.08555229120964
26,2020-04-27,240.00015598554813
27,2020-04-28,243.0866982760191
28,2020-04-29,255.29520127806842
29,2020-04-30,208.89712954664242
30,2020-05-01,230.81326132227505
31,2020-05-02,220.40742378361603
32,2020-05-03,212.52647379639026
33,2020-05-04,220.83968732072822
34,2020-05-05,239.68553491302396
35,2020-05-06,220.83968732072822
36,2020-05-07,220.83968732072822
37,2020-05-08,196.24719762231996
38,2020-05-09,192.38889705648307
39,2020-05-10,188.16076282614114
40,2020-05-11,188.16076282614114
41,2020-05-12,196.24719762231996
42,2020-05-13,192.38889705648307
43,2020-05-14,188.16076282614114
44,2020-05-15,188.16076282614114
45,2020-05-16,188.16076282614114
46,2020-05-17,188.16076282614114
47,2020-05-18,182.41380105598748
48,2020-05-19,188.16076282614114
49,2020-05-20,189.30235476601212
50,2020-05-21,185.13658292758785
51,2020-05-22,185.13658292758785
52,2020-05-23,197.06157504772796
53,2020-05-24,172.0208253224776
54,2020-05-25,182.74386429340942
55,2020-05-26,185.13658292758785
56,2020-05-27,188.16076282614114
57,2020-05-28,190.86828912098605
58,2020-05-29,197.06157504772796
59,2020-05-30,182.41380105598748
60,2020-05-31,155.62788509917704
61,2020-06-01,141.291802775542
62,2020-06-02,164.08611759804518
63,2020-06-03,165.66572043199767
64,2020-06-04,165.66572043199767
65,2020-06-05,166.79013824801427
66,2020-06-06,165.66572043199767
67,2020-06-07,165.66572043199767
68,2020-06-08,155.62788509917704
69,2020-06-09,156.04481255793755
70,2020-06-10,164.08611759804518
71,2020-06-11,166.79013824801427
72,2020-06-12,164.08611759804518
73,2020-06-13,153.40010106952616
74,2020-06-14,155.62788509917704
75,2020-06-15,144.9048461282452
76,2020-06-16,147.9336099840308
77,2020-06-17,153.40010106952616
78,2020-06-18,164.08611759804518
79,2020-06-19,153.88021589379161
80,2020-06-20,153.88021589379161
81,2020-06-21,165.66572043199767
82,2020-06-22,156.04481255793755
83,2020-06-23,168.24406351616702
84,2020-06-24,164.08611759804518
85,2020-06-25,164.6751816447195
86,2020-06-26,158.81301804294228
87,2020-06-27,158.81301804294228
88,2020-06-28,165.66572043199767
89,2020-06-29,156.04481255793755
90,2020-06-30,164.935958217095
91,2020-07-01,153.73951772556325
92,2020-07-02,158.6723198747139
93,2020-07-03,153.85143312911603
94,2020-07-04,141.93883026075412
95,2020-07-05,138.91006640496855
96,2020-07-06,138.71638606672238
97,2020-07-07,151.67565395156765
98,2020-07-08,151.67565395156765
99,2020-07-09,151.67565395156765
100,2020-07-10,138.91006640496855
101,2020-07-11,141.93883026075412
102,2020-07-12,127.21022842532118
103,2020-07-13,141.93883026075412
104,2020-07-14,153.85143312911603
105,2020-07-15,154.32036543997904
106,2020-07-16,141.93883026075412
107,2020-07-17,138.91006640496855
108,2020-07-18,127.83266581604222
109,2020-07-19,127.21022842532118
110,2020-07-20,127.83266581604222
111,2020-07-21,127.83266581604222
112,2020-07-22,125.7129890932515
113,2020-07-23,125.7129890932515
114,2020-07-24,125.7129890932515
115,2020-07-25,125.7129890932515
116,2020-07-26,125.7129890932515
117,2020-07-27,127.21022842532118
118,2020-07-28,125.7129890932515
119,2020-07-29,125.7129890932515
120,2020-07-30,125.7129890932515
121,2020-07-31,126.99642779141855
122,2020-08-01,126.99642779141855
123,2020-08-02,126.99642779141855
124,2020-08-03,126.99642779141855
125,2020-08-04,125.48056521415742
126,2020-08-05,128.49366712348825
127,2020-08-06,129.0781577441448
128,2020-08-07,125.48056521415742
129,2020-08-08,126.99642779141855
130,2020-08-09,125.48056521415742
131,2020-08-10,129.1161045142093
132,2020-08-11,141.09080640320005
133,2020-08-12,141.09080640320005
134,2020-08-13,138.06204254741448
135,2020-08-14,153.00340927156196
136,2020-08-15,129.0781577441448
137,2020-08-16,141.09080640320005
138,2020-08-17,138.06204254741448
139,2020-08-18,150.82763009401359
140,2020-08-19,156.79627753169225
141,2020-08-20,153.47234158242497
142,2020-08-21,153.47234158242497
143,2020-08-22,137.8683622091683
144,2020-08-23,128.49366712348825
145,2020-08-24,129.1161045142093
146,2020-08-25,138.06204254741448
147,2020-08-26,129.1161045142093
148,2020-08-27,141.09080640320005
149,2020-08-28,153.00340927156196
150,2020-08-29,141.09080640320005
151,2020-08-30,125.48056521415742
152,2020-08-31,162.70318372432718
153,2020-09-01,166.49605198445747
154,2020-09-02,162.16600171815753
155,2020-09-03,162.16600171815753
156,2020-09-04,175.33771591437346
157,2020-09-05,177.9160589985428
158,2020-09-06,163.1721160351902
159,2020-09-07,163.1721160351902
160,2020-09-08,174.34717712709528
161,2020-09-09,177.9160589985428
162,2020-09-10,174.34717712709528
163,2020-09-11,166.49605198445747
